# ALEPH EEC vs z=(1-cos theta)/2, from points_Sept15th.txt
# columns: bin_index  z_low  z_high  z_center  EEC  stat_unc  syst_unc
  17 9.30732546e-06 1.06124242e-05 9.95987482e-06 14.3360373 0.2906717 1.9635661
  18 1.06124242e-05 1.21005274e-05 1.13564758e-05 13.9186165 0.2953283 1.8308930
  19 1.21005274e-05 1.37972966e-05 1.29489120e-05 15.3308890 0.2868916 1.5865485
  20 1.37972966e-05 1.57319914e-05 1.47646440e-05 14.1703192 0.2559928 1.4063232
  21 1.57319914e-05 1.79379744e-05 1.68349829e-05 14.0809562 0.2290957 1.2988255
  22 1.79379744e-05 2.04532865e-05 1.91956305e-05 14.7150912 0.2397769 1.3389333
  23 2.04532865e-05 2.33213024e-05 2.18872945e-05 13.6284869 0.1946724 1.5409278
  24 2.33213024e-05 2.65914795e-05 2.49563910e-05 15.2571413 0.2128383 1.6697348
  25 2.65914795e-05 3.03202097e-05 2.84558446e-05 13.8128593 0.1570959 1.5271662
  26 3.03202097e-05 3.45717928e-05 3.24460013e-05 14.3762720 0.1761434 1.5321033
  27 3.45717928e-05 3.94195445e-05 3.69956686e-05 14.7946153 0.1787484 1.5597732
  28 3.94195445e-05 4.49470612e-05 4.21833028e-05 14.2931272 0.1625370 1.5335366
  29 4.49470612e-05 5.12496615e-05 4.80983614e-05 14.9669165 0.1624925 1.7374166
  30 5.12496615e-05 5.84360297e-05 5.48428456e-05 14.5883118 0.1497552 1.8223870
  31 5.84360297e-05 6.66300902e-05 6.25330600e-05 13.8561790 0.1338947 1.5932657
  32 6.66300902e-05 7.59731444e-05 7.13016173e-05 14.1887843 0.1337912 1.4019209
  33 7.59731444e-05 8.66263073e-05 8.12997258e-05 13.8297963 0.1211900 1.3350316
  34 8.66263073e-05 9.87732859e-05 9.26997966e-05 13.3127736 0.1107216 1.4787944
  35 9.87732859e-05 1.12623547e-04 1.05698416e-04 13.7988572 0.1135431 1.6052980
  36 1.12623547e-04 1.28415930e-04 1.20519739e-04 14.0866875 0.1145609 1.4165411
  37 1.28415930e-04 1.46422764e-04 1.37419347e-04 13.9870408 0.1035105 1.3520988
  38 1.46422764e-04 1.66954566e-04 1.56688665e-04 13.4755591 0.0980112 1.3474885
  39 1.66954566e-04 1.90365394e-04 1.78659980e-04 13.4285417 0.0912165 1.4723015
  40 1.90365394e-04 2.17058952e-04 2.03712173e-04 13.4849684 0.0883979 1.4331986
  41 2.17058952e-04 2.47495554e-04 2.32277253e-04 13.1834859 0.0821134 1.4576896
  42 2.47495554e-04 2.82200060e-04 2.64847807e-04 12.8202662 0.0750513 1.4722273
  43 2.82200060e-04 3.21770927e-04 3.01985494e-04 12.6282940 0.0695546 1.4170366
  44 3.21770927e-04 3.66890530e-04 3.44330729e-04 12.2213341 0.0638764 1.2921357
  45 3.66890530e-04 4.18336927e-04 3.92613729e-04 11.6862968 0.0584272 1.1206422
  46 4.18336927e-04 4.76997279e-04 4.47667103e-04 11.4110508 0.0537478 1.1832456
  47 4.76997279e-04 5.43883147e-04 5.10440213e-04 10.9823441 0.0488926 1.2461156
  48 5.43883147e-04 6.20147935e-04 5.82015541e-04 10.6428361 0.0447301 1.1320914
  49 6.20147935e-04 7.07106781e-04 6.63627358e-04 10.0734760 0.0399492 1.0588536
  50 7.07106781e-04 8.06259235e-04 7.56683008e-04 9.6437793 0.0361160 1.0336921
  51 8.06259235e-04 9.19315118e-04 8.62787177e-04 9.1374513 0.0325703 0.9720008
  52 9.19315118e-04 1.04822401e-03 9.83769563e-04 8.5923424 0.0291174 0.8313805
  53 1.04822401e-03 1.19520886e-03 1.12171643e-03 8.1328838 0.0259787 0.6192263
  54 1.19520886e-03 1.36280432e-03 1.27900659e-03 7.5678533 0.0230034 0.7689263
  55 1.36280432e-03 1.55390049e-03 1.45835240e-03 6.9897804 0.0201750 0.6761672
  56 1.55390049e-03 1.77179268e-03 1.66284658e-03 6.4496259 0.0177321 0.5505745
  57 1.77179268e-03 2.02023831e-03 1.89601549e-03 5.9246087 0.0155417 0.4835228
  58 2.02023831e-03 2.30352167e-03 2.16187999e-03 5.3859210 0.0135053 0.4471362
  59 2.30352167e-03 2.62652780e-03 2.46502474e-03 4.8844923 0.0117249 0.4383306
  60 2.62652780e-03 2.99482674e-03 2.81067727e-03 4.4043550 0.0101476 0.3067365
  61 2.99482674e-03 3.41476957e-03 3.20479816e-03 3.9102190 0.0086738 0.2872021
  62 3.41476957e-03 3.89359793e-03 3.65418375e-03 3.4774870 0.0074113 0.1692279
  63 3.89359793e-03 4.43956892e-03 4.16658343e-03 3.0766372 0.0063325 0.1172901
  64 4.43956892e-03 5.06209747e-03 4.75083319e-03 2.7255155 0.0053872 0.0576737
  65 5.06209747e-03 5.77191867e-03 5.41700807e-03 2.3974984 0.0045846 0.0442821
  66 5.77191867e-03 6.58127295e-03 6.17659581e-03 2.1009373 0.0039202 0.0372643
  67 6.58127295e-03 7.50411711e-03 7.04269503e-03 1.8397684 0.0033326 0.0298055
  68 7.50411711e-03 8.55636501e-03 8.03024106e-03 1.5970243 0.0028459 0.0243584
  69 8.55636501e-03 9.75616200e-03 9.15626350e-03 1.3989682 0.0024308 0.0304621
  70 9.75616200e-03 1.11241978e-02 1.04401799e-02 1.2183849 0.0020705 0.0303000
  71 1.11241978e-02 1.26840634e-02 1.19041306e-02 1.0475739 0.0017547 0.0185639
  72 1.26840634e-02 1.44626576e-02 1.35733605e-02 0.9032705 0.0014877 0.0275389
  73 1.44626576e-02 1.64906511e-02 1.54766543e-02 0.7820095 0.0012620 0.0249052
  74 1.64906511e-02 1.88030155e-02 1.76468333e-02 0.6704518 0.0010705 0.0097791
  75 1.88030155e-02 2.14396259e-02 2.01213207e-02 0.5709027 0.0008947 0.0097501
  76 2.14396259e-02 2.44459491e-02 2.29427875e-02 0.4860794 0.0007511 0.0134831
  77 2.44459491e-02 2.78738272e-02 2.61598882e-02 0.4127439 0.0006275 0.0106422
  78 2.78738272e-02 3.17823718e-02 2.98280995e-02 0.3494908 0.0005249 0.0097865
  79 3.17823718e-02 3.62389832e-02 3.40106775e-02 0.2969767 0.0004430 0.0081050
  80 3.62389832e-02 4.13205129e-02 3.87797480e-02 0.2525843 0.0003739 0.0064650
  81 4.13205129e-02 4.71145886e-02 4.42175508e-02 0.2156959 0.0003191 0.0052526
  82 4.71145886e-02 5.37211256e-02 5.04178571e-02 0.1847806 0.0002744 0.0043970
  83 5.37211256e-02 6.12540493e-02 5.74875874e-02 0.1585152 0.0002355 0.0038355
  84 6.12540493e-02 6.98432602e-02 6.55486548e-02 0.1363395 0.0002029 0.0031785
  85 6.98432602e-02 7.96368739e-02 7.47400671e-02 0.1177866 0.0001760 0.0026583
  86 7.96368739e-02 9.08037750e-02 8.52203244e-02 0.1022730 0.0001536 0.0023208
  87 9.08037750e-02 1.03536530e-01 9.71701523e-02 0.0893285 0.0001351 0.0021483
  88 1.03536530e-01 1.18054706e-01 1.10795618e-01 0.0777140 0.0001182 0.0018886
  89 1.18054706e-01 1.34608661e-01 1.26331683e-01 0.0683187 0.0001041 0.0016329
  90 1.34608661e-01 1.53483857e-01 1.44046259e-01 0.0601580 0.0000927 0.0016414
  91 1.53483857e-01 1.75005785e-01 1.64244821e-01 0.0532948 0.0000827 0.0014989
  92 1.75005785e-01 1.99545576e-01 1.87275680e-01 0.0475551 0.0000745 0.0015450
  93 1.99545576e-01 2.27526405e-01 2.13535990e-01 0.0426140 0.0000670 0.0014336
  94 2.27526405e-01 2.59430782e-01 2.43478593e-01 0.0386145 0.0000613 0.0012840
  95 2.59430782e-01 2.95808878e-01 2.77619830e-01 0.0351300 0.0000563 0.0013864
  96 2.95808878e-01 3.37288011e-01 3.16548444e-01 0.0324803 0.0000523 0.0013335
  97 3.37288011e-01 3.84583462e-01 3.60935736e-01 0.0305425 0.0000495 0.0013238
  98 3.84583462e-01 4.38510810e-01 4.11547136e-01 0.0292412 0.0000481 0.0012726
  99 4.38510810e-01 5.00000000e-01 4.69255405e-01 0.0287712 0.0000486 0.0012294
 100 5.00000000e-01 5.61489190e-01 5.30744595e-01 0.0293314 0.0000532 0.0009007
 101 5.61489190e-01 6.15416538e-01 5.88452864e-01 0.0311201 0.0000590 0.0012068
 102 6.15416538e-01 6.62711989e-01 6.39064264e-01 0.0336602 0.0000651 0.0012761
 103 6.62711989e-01 7.04191122e-01 6.83451556e-01 0.0372526 0.0000719 0.0013706
 104 7.04191122e-01 7.40569218e-01 7.22380170e-01 0.0416561 0.0000805 0.0014336
 105 7.40569218e-01 7.72473595e-01 7.56521407e-01 0.0470983 0.0000900 0.0014820
 106 7.72473595e-01 8.00454424e-01 7.86464010e-01 0.0540428 0.0001034 0.0009895
 107 8.00454424e-01 8.24994215e-01 8.12724320e-01 0.0619318 0.0001172 0.0016364
 108 8.24994215e-01 8.46516143e-01 8.35755179e-01 0.0718314 0.0001352 0.0015914
 109 8.46516143e-01 8.65391339e-01 8.55953741e-01 0.0834061 0.0001559 0.0014934
 110 8.65391339e-01 8.81945294e-01 8.73668317e-01 0.0970436 0.0001804 0.0019881
 111 8.81945294e-01 8.96463470e-01 8.89204382e-01 0.1133863 0.0002087 0.0018820
 112 8.96463470e-01 9.09196225e-01 9.02829848e-01 0.1320952 0.0002436 0.0026260
 113 9.09196225e-01 9.20363126e-01 9.14779676e-01 0.1547652 0.0002807 0.0027725
 114 9.20363126e-01 9.30156740e-01 9.25259933e-01 0.1817062 0.0003278 0.0039460
 115 9.30156740e-01 9.38745951e-01 9.34451345e-01 0.2133443 0.0003806 0.0034876
 116 9.38745951e-01 9.46278874e-01 9.42512413e-01 0.2504168 0.0004472 0.0039238
 117 9.46278874e-01 9.52885411e-01 9.49582143e-01 0.2936107 0.0005229 0.0051541
 118 9.52885411e-01 9.58679487e-01 9.55782449e-01 0.3433147 0.0006096 0.0054394
 119 9.58679487e-01 9.63761017e-01 9.61220252e-01 0.4029942 0.0007126 0.0068942
 120 9.63761017e-01 9.68217628e-01 9.65989323e-01 0.4684276 0.0008297 0.0075036
 121 9.68217628e-01 9.72126173e-01 9.70171901e-01 0.5474129 0.0009757 0.0092193
 122 9.72126173e-01 9.75554051e-01 9.73840112e-01 0.6356018 0.0011373 0.0204191
 123 9.75554051e-01 9.78560374e-01 9.77057212e-01 0.7409849 0.0013432 0.0166162
 124 9.78560374e-01 9.81196985e-01 9.79878679e-01 0.8541312 0.0015556 0.0191484
 125 9.81196985e-01 9.83509349e-01 9.82353167e-01 0.9875081 0.0018361 0.0293414
 126 9.83509349e-01 9.85537342e-01 9.84523346e-01 1.1306498 0.0021276 0.0360080
 127 9.85537342e-01 9.87315937e-01 9.86426640e-01 1.2951853 0.0024914 0.0479108
 128 9.87315937e-01 9.88875802e-01 9.88095869e-01 1.4750685 0.0028893 0.0584755
 129 9.88875802e-01 9.90243838e-01 9.89559820e-01 1.6756139 0.0033782 0.0521718
 130 9.90243838e-01 9.91443635e-01 9.90843736e-01 1.9047225 0.0039448 0.0750378
 131 9.91443635e-01 9.92495883e-01 9.91969759e-01 2.1391121 0.0045429 0.1147229
 132 9.92495883e-01 9.93418727e-01 9.92957305e-01 2.3973891 0.0052405 0.0837078
 133 9.93418727e-01 9.94228081e-01 9.93823404e-01 2.6783288 0.0061039 0.1040842
 134 9.94228081e-01 9.94937903e-01 9.94582992e-01 2.9745489 0.0070334 0.1456384
 135 9.94937903e-01 9.95560431e-01 9.95249167e-01 3.2725660 0.0080477 0.1120197
 136 9.95560431e-01 9.96106402e-01 9.95833417e-01 3.6062316 0.0091757 0.1662916
 137 9.96106402e-01 9.96585230e-01 9.96345816e-01 3.9662906 0.0106097 0.2187783
 138 9.96585230e-01 9.97005173e-01 9.96795202e-01 4.3053221 0.0120861 0.2712001
 139 9.97005173e-01 9.97373472e-01 9.97189323e-01 4.6979150 0.0138267 0.2932553
 140 9.97373472e-01 9.97696478e-01 9.97534975e-01 5.0430654 0.0155039 0.3270723
 141 9.97696478e-01 9.97979762e-01 9.97838120e-01 5.4212344 0.0176421 0.2815106
 142 9.97979762e-01 9.98228207e-01 9.98103985e-01 5.7916288 0.0200164 0.3859484
 143 9.98228207e-01 9.98446100e-01 9.98337153e-01 6.1659739 0.0222080 0.4214140
 144 9.98446100e-01 9.98637196e-01 9.98541648e-01 6.4876453 0.0247494 0.3755171
 145 9.98637196e-01 9.98804791e-01 9.98720993e-01 6.9385438 0.0280160 0.3595776
 146 9.98804791e-01 9.98951776e-01 9.98878284e-01 7.3167190 0.0311339 0.4857098
 147 9.98951776e-01 9.99080685e-01 9.99016230e-01 7.5808225 0.0342816 0.4731746
 148 9.99080685e-01 9.99193741e-01 9.99137213e-01 7.9466928 0.0379193 0.4429385
 149 9.99193741e-01 9.99292893e-01 9.99243317e-01 8.2251039 0.0422507 0.5560357
 150 9.99292893e-01 9.99379852e-01 9.99336373e-01 8.6830762 0.0460977 0.6173409
 151 9.99379852e-01 9.99456117e-01 9.99417984e-01 8.9401448 0.0511231 0.5418804
 152 9.99456117e-01 9.99523003e-01 9.99489560e-01 9.0551305 0.0556502 0.4390550
 153 9.99523003e-01 9.99581663e-01 9.99552333e-01 9.3011568 0.0597723 0.4807140
 154 9.99581663e-01 9.99633109e-01 9.99607386e-01 9.7003110 0.0671357 0.3548321
 155 9.99633109e-01 9.99678229e-01 9.99655669e-01 9.9105493 0.0722459 0.5521570
 156 9.99678229e-01 9.99717800e-01 9.99698015e-01 10.0389084 0.0783513 0.6493480
 157 9.99717800e-01 9.99752504e-01 9.99735152e-01 10.2518193 0.0853276 0.6672818
 158 9.99752504e-01 9.99782941e-01 9.99767723e-01 10.4742234 0.0903635 0.6286908
 159 9.99782941e-01 9.99809635e-01 9.99796288e-01 10.5808634 0.0970686 0.6625548
 160 9.99809635e-01 9.99833045e-01 9.99821340e-01 10.5756338 0.1018225 0.7040868
 161 9.99833045e-01 9.99853577e-01 9.99843311e-01 10.6241999 0.1068302 0.6680456
 162 9.99853577e-01 9.99871584e-01 9.99862581e-01 11.1739038 0.1231635 0.5102768
 163 9.99871584e-01 9.99887376e-01 9.99879480e-01 10.9293609 0.1256101 0.4485116
 164 9.99887376e-01 9.99901227e-01 9.99894302e-01 11.3167803 0.1355856 0.6175598
 165 9.99901227e-01 9.99913374e-01 9.99907300e-01 11.3135009 0.1369662 0.6498133
 166 9.99913374e-01 9.99924027e-01 9.99918700e-01 10.8726730 0.1413017 0.6130941
 167 9.99924027e-01 9.99933370e-01 9.99928698e-01 11.2637713 0.1558474 0.7228701
 168 9.99933370e-01 9.99941564e-01 9.99937467e-01 11.4234364 0.1652796 0.7383736
 169 9.99941564e-01 9.99948750e-01 9.99945157e-01 11.8429208 0.1792868 0.8716198
 170 9.99948750e-01 9.99955053e-01 9.99951902e-01 11.4976962 0.1889324 0.7889320
 171 9.99955053e-01 9.99960580e-01 9.99957817e-01 11.4593428 0.2072636 1.1361912
 172 9.99960580e-01 9.99965428e-01 9.99963004e-01 11.4747907 0.2013719 1.0424511
 173 9.99965428e-01 9.99969680e-01 9.99967554e-01 11.2326814 0.2126505 0.8934149
 174 9.99969680e-01 9.99973409e-01 9.99971544e-01 11.6175009 0.2474746 0.8222789
 175 9.99973409e-01 9.99976679e-01 9.99975044e-01 11.7570296 0.2656514 0.9872579
 176 9.99976679e-01 9.99979547e-01 9.99978113e-01 11.9686737 0.2604129 0.8760633
 177 9.99979547e-01 9.99982062e-01 9.99980804e-01 11.1189164 0.2497503 0.9057251
 178 9.99982062e-01 9.99984268e-01 9.99983165e-01 11.3390744 0.2610112 0.9549335
 179 9.99984268e-01 9.99986203e-01 9.99985235e-01 11.2645596 0.3032481 0.8991772
 180 9.99986203e-01 9.99987899e-01 9.99987051e-01 11.9760269 0.3725703 1.1861966
 181 9.99987899e-01 9.99989388e-01 9.99988644e-01 11.8918007 0.3682496 0.8808597
 182 9.99989388e-01 9.99990693e-01 9.99990040e-01 11.3113690 0.4021452 1.1496591
 183 9.99990693e-01 9.99991837e-01 9.99991265e-01 13.1217474 0.4955834 0.9479368
